50025|17|PY-PESTLE|7002|A4|70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F00006C7473F2D9942641CF8D9FB551BC494179579AACF4AC9640|41|NULL|NULL|58|Storage
50026|18|SP-SPECIAL_POTTERY|7002|A4|70310|D|KIS10|1.557|1.5|NULL|NULL|1|01010000A07C7F000036671207DA9426416AD729BC51BC4941E7E10381EDAC9640|42|NULL|NULL|62|Storage
50027|19|ZA-CHECK_SHOT|0|A4|70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F0000C6E9FB3BE0942641A83AE4B04ABC49410091EF2BD0B19640|43|NULL|NULL||
50028|20|SH-SHELL|7001|A3|70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F00007EF775EBD29426418150287250BC49417C44D7C491AC9640|44|NULL|NULL|58|Storage
50029|21|CL-CLAY_OBJECT|7010|A3|70310|D|KIS10|1.557|1.5|NULL|NULL|1|01010000A07C7F0000863D483CDA94264167463F6B4FBC4941C4A8FA0587AD9640|45|NULL|NULL|58|Storage
50030|22|ZA-CHECK_SHOT|0||70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F0000C18DB53DD3942641D200DE4245BC49415364A89FB8B79640|46|NULL|NULL||
50031|23|ZA-CHECK_SHOT|0||70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F00006B85652BD3942641F324444045BC494180757163B8B79640|47|NULL|NULL||
50032|24|ZA-CHECK_SHOT|0||70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F000033748932E0942641BA1281AC4ABC4941802D7568D1B19640|48|NULL|NULL||
50033|1|ZA-CHECK_SHOT|||70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F00004AA6F935E0942641F86008AD4ABC494139A46FD72BB19640|49|NULL|NULL||
50034|2|GR-GROUND_SHOT|7002|a4|70410|D|KIS10|1.53|1.5|NULL|NULL|1|01010000A07C7F0000A99E92A8DF942641324AE1D850BC494101525ED525AC9640|50|NULL|NULL|40|Storage
50035|3|GR-GROUND_SHOT|70010|a4|70410|D|KIS10|1.53|1.5|1||1|01010000A07C7F0000819585EDD994264113E3EB8F4FBC4941C1034F9675AC9640|51|||8,41|Storage
50036|4|GR-GROUND_SHOT|70001|a3|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F00008AFA4DA0D39426410A5E3E4050BC494191D4F9A914AC9640|52|NULL|NULL|35|Storage
50037|5|GR-GROUND_SHOT|70006|a2|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F00002633830BCA9426419036E92C50BC4941483CF723B0B19640|53|NULL|NULL||
50038|6|GR-GROUND_SHOT|70005|a1|70410|D|KIS10|1.53|1.5|NULL|NULL|1|01010000A07C7F000089A91DA5C1942641665C820F50BC494172A69785F6B09640|54|NULL|NULL|7|Storage
50039|7|GR-GROUND_SHOT|70007|b2|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F0000BC945758CC9426415B75C2394DBC49412EEB2F10D8B39640|55|NULL|NULL||
50040|8|GR-GROUND_SHOT|70008|b3|70410|D|KIS10|1.53|1.5|NULL|NULL|1|01010000A07C7F0000A1D56EAED5942641E9AE36864DBC4941E778278C95B29640|56|NULL|NULL|41|Storage
50041|9|GR-GROUND_SHOT|70009|b4|70410|D|KIS10|1.53|1.5|NULL|NULL|1|01010000A07C7F00009B4200B1DC94264121D15F944DBC49418F34664129B19640|57|NULL|NULL|8|Storage
50042|10|GR-GROUND_SHOT|7011|c4|70410|D|KIS10|1.53|1.5|NULL|NULL|1|01010000A07C7F0000FAA4EA79DC942641DA6BE6814BBC4941884B9AF77DB19640|58|NULL|NULL|41|Storage
50043|11|SP-SPECIAL_POTTERY|7012|a2|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F00005AFF5BA5CD94264119879FD84FBC4941AB8801F07CB19640|59|NULL|NULL||
50044|12|PB-PERIMETER_BOTTOM|7006|a2|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F0000FF43970DCD9426417F4864634FBC494133CD4FC499B19640|60|NULL|NULL||
