55005|2|PS-PERIMETER_START|RT-ROBBER_TRENCH|7003|B2-3,C2-3|70110|D|0|KIS10|0|0|01030000207C7F0000010000000C000000F42581BCC9942641080754E24BBC49417694837ECB9426416F5E73E24CBC4941F07B2A2BCD942641BDB0BABF4DBC494125D84060D2942641DCD09AD64DBC4941BBF5D369D2942641DCD09AD64DBC4941BBF5D369D2942641DCD09AD64DBC4941E1CD140AD2942641221E37A44CBC4941E1CD140AD294264187E59BA64CBC4941C9417F3ED0942641FED043FA4BBC49419A2954A7CC94264116586CBE4BBC49419A2954A7CC94264116586CBE4BBC4941F42581BCC9942641080754E24BBC4941|3
55001|1|PS-PERIMETER_START|FI-FILL|7000|A4|70210|D||KIS10|||01030000207C7F000001000000060000003ED17F80D594264189A4F7EE50BC4941CDF5C812DA9426410F0610F550BC4941C1329806DA942641BBB0BA1F4FBC4941E97B2A2BD5942641BBB0BA1F4FBC494102028C43D5942641344FA2D94FBC49413ED17F80D594264189A4F7EE50BC4941|4
55002|1|PS-PERIMETER_START|SU-SURFACE|7004|A4|70210|D||KIS10|||01030000207C7F0000010000000600000040A3F97BD594264142C9F7EF50BC494199F5C911DA94264105DF14F650BC4941EA2DA309DA9426415453551F4FBC49416CD6752AD59426415453551F4FBC49416CD6752AD59426415453551F4FBC494140A3F97BD594264142C9F7EF50BC4941|5
55003|1|PS-PERIMETER_START|FI-FILL|7001|A3|70210|D||KIS10|||01030000207C7F00000100000006000000C33C6E87D494264177BC580451BC494133514F15D494264168A14B1D4FBC49413FB72143D094264168A14B1D4FBC49417113F3A4D0942641F5F0102B51BC49417113F3A4D0942641F5F0102B51BC4941C33C6E87D494264177BC580451BC4941|6
55004|1|PS-PERIMETER_START|FI-FILL|7002|A4|70210|D||KIS10|||01030000207C7F0000010000000600000023B3C91EDB9426415617EEED50BC494150D21D06E09426419301D1E750BC4941FF99440EE09426417DEF411B4FBC494148B82668DB9426417DEF411B4FBC494148B82668DB9426417DEF411B4FBC494123B3C91EDB9426415617EEED50BC4941|7
55006|1|PS-PERIMETER_START|TL-TOP_SOIL|7005|A1|70310|D||KIS10|||01030000207C7F000001000000060000007DC2757EBB942641D910759D51BC4941DB50FB81C5942641D910759D51BC4941DB50FB81C59426411E16341E4FBC49417DC2757EBB9426411E16341E4FBC49417DC2757EBB9426411E16341E4FBC49417DC2757EBB942641D910759D51BC4941|8
55007|1|PS-PERIMETER_START|TL-TOP_SOIL|7006|A2|70310|D||KIS10|||01030000207C7F00000100000006000000DB50FB81C5942641D910759D51BC4941C63BFF7ECF942641D910759D51BC4941C63BFF7ECF9426411E16341E4FBC4941DB50FB81C59426411E16341E4FBC4941DB50FB81C59426411E16341E4FBC4941DB50FB81C5942641D910759D51BC4941|9
55008|1|PS-PERIMETER_START|TL-TOP_SOIL|7007|B2|70310|D||KIS10|||01030000207C7F00000100000006000000DA50FB81C59426411F16341E4FBC4941C53BFF7ECF9426411F16341E4FBC4941C53BFF7ECF942641641BF39E4CBC4941DA50FB81C5942641641BF39E4CBC4941DA50FB81C5942641641BF39E4CBC4941DA50FB81C59426411F16341E4FBC4941|10
55009|1|PS-PERIMETER_START|TL-TOP_SOIL|7008|B3|70310|D||KIS10|||01030000207C7F00000100000006000000C53BFF7ECF9426412016341E4FBC494123CA8482D99426412016341E4FBC494123CA8482D9942641651BF39E4CBC4941C53BFF7ECF942641651BF39E4CBC4941C53BFF7ECF942641651BF39E4CBC4941C53BFF7ECF9426412016341E4FBC4941|11
55010|1|PS-PERIMETER_START|TL-TOP_SOIL|7009|B4|70310|D||KIS10|||01030000207C7F0000010000000600000024CA8482D9942641FC7ED41F4FBC494110B5887FE39426411F16341E4FBC494110B5887FE3942641641BF39E4CBC494124CA8482D9942641641BF39E4CBC494124CA8482D9942641641BF39E4CBC494124CA8482D9942641FC7ED41F4FBC4941|12
